"""Longitude (x)","""""Latitude (y)""""","""""Station Name""""","""""Climate ID""""","""""Date/Time""""","""""Year""""","""""Month""""","""""Day""""","""""Time""""","""""Temp (°C)""""","""""Temp Flag""""","""""Dew Point Temp (°C)""""","""""Dew Point Temp Flag""""","""""Rel Hum (%)""""","""""Rel Hum Flag""""","""""Wind Dir (10s deg)""""","""""Wind Dir Flag""""","""""Wind Spd (km/h)""""","""""Wind Spd Flag""""","""""Visibility (km)""""","""""Visibility Flag""""","""""Stn Press (kPa)""""","""""Stn Press Flag""""","""""Hmdx""""","""""Hmdx Flag""""","""""Wind Chill""""","""""Wind Chill Flag""""","""""Weather"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 01:00""""","""""2015""""","""""01""""","""""02""""","""""01:00""""","""""-1.0""""","""""""""","""""-6.0""""","""""""""","""""69""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.05""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 02:00""""","""""2015""""","""""01""""","""""02""""","""""02:00""""","""""-1.8""""","""""""""","""""-4.0""""","""""""""","""""85""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.12""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 03:00""""","""""2015""""","""""01""""","""""02""""","""""03:00""""","""""-1.6""""","""""""""","""""-4.4""""","""""""""","""""81""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.22""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 04:00""""","""""2015""""","""""01""""","""""02""""","""""04:00""""","""""-1.7""""","""""""""","""""-5.8""""","""""""""","""""73""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.29""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 05:00""""","""""2015""""","""""01""""","""""02""""","""""05:00""""","""""-2.2""""","""""""""","""""-6.5""""","""""""""","""""72""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.38""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 06:00""""","""""2015""""","""""01""""","""""02""""","""""06:00""""","""""-2.5""""","""""""""","""""-8.5""""","""""""""","""""63""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.46""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 07:00""""","""""2015""""","""""01""""","""""02""""","""""07:00""""","""""-2.6""""","""""""""","""""-8.2""""","""""""""","""""65""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.61""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 08:00""""","""""2015""""","""""01""""","""""02""""","""""08:00""""","""""-2.8""""","""""""""","""""-8.4""""","""""""""","""""65""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.72""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 09:00""""","""""2015""""","""""01""""","""""02""""","""""09:00""""","""""-3.1""""","""""""""","""""-9.2""""","""""""""","""""63""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.84""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 10:00""""","""""2015""""","""""01""""","""""02""""","""""10:00""""","""""-2.4""""","""""""""","""""-9.2""""","""""""""","""""59""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.89""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 11:00""""","""""2015""""","""""01""""","""""02""""","""""11:00""""","""""-1.4""""","""""""""","""""-9.7""""","""""""""","""""53""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.97""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 12:00""""","""""2015""""","""""01""""","""""02""""","""""12:00""""","""""-1.6""""","""""""""","""""-11.9""""","""""""""","""""45""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.94""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 13:00""""","""""2015""""","""""01""""","""""02""""","""""13:00""""","""""-1.6""""","""""""""","""""-11.7""""","""""""""","""""46""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.96""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 14:00""""","""""2015""""","""""01""""","""""02""""","""""14:00""""","""""-0.7""""","""""""""","""""-11.1""""","""""""""","""""45""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.01""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 15:00""""","""""2015""""","""""01""""","""""02""""","""""15:00""""","""""-0.7""""","""""""""","""""-11.0""""","""""""""","""""46""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.04""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 16:00""""","""""2015""""","""""01""""","""""02""""","""""16:00""""","""""-1.2""""","""""""""","""""-11.3""""","""""""""","""""46""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.12""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 17:00""""","""""2015""""","""""01""""","""""02""""","""""17:00""""","""""-1.9""""","""""""""","""""-10.6""""","""""""""","""""51""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.24""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 18:00""""","""""2015""""","""""01""""","""""02""""","""""18:00""""","""""-2.6""""","""""""""","""""-10.9""""","""""""""","""""53""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.31""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 19:00""""","""""2015""""","""""01""""","""""02""""","""""19:00""""","""""-3.0""""","""""""""","""""-10.6""""","""""""""","""""56""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.37""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 20:00""""","""""2015""""","""""01""""","""""02""""","""""20:00""""","""""-3.2""""","""""""""","""""-10.4""""","""""""""","""""57""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.48""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 21:00""""","""""2015""""","""""01""""","""""02""""","""""21:00""""","""""-3.5""""","""""""""","""""-10.1""""","""""""""","""""60""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.52""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 22:00""""","""""2015""""","""""01""""","""""02""""","""""22:00""""","""""-3.5""""","""""""""","""""-10.3""""","""""""""","""""59""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.54""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-02 23:00""""","""""2015""""","""""01""""","""""02""""","""""23:00""""","""""-3.5""""","""""""""","""""-10.1""""","""""""""","""""60""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.62""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 00:00""""","""""2015""""","""""01""""","""""03""""","""""00:00""""","""""-3.6""""","""""""""","""""-9.1""""","""""""""","""""66""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.61""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 01:00""""","""""2015""""","""""01""""","""""03""""","""""01:00""""","""""-3.5""""","""""""""","""""-8.3""""","""""""""","""""70""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.59""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 02:00""""","""""2015""""","""""01""""","""""03""""","""""02:00""""","""""-3.3""""","""""""""","""""-6.6""""","""""""""","""""78""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.60""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 03:00""""","""""2015""""","""""01""""","""""03""""","""""03:00""""","""""-2.9""""","""""""""","""""-6.2""""","""""""""","""""78""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.57""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 04:00""""","""""2015""""","""""01""""","""""03""""","""""04:00""""","""""-1.3""""","""""""""","""""-4.1""""","""""""""","""""81""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.54""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-03 05:00""""","""""2015""""","""""01""""","""""03""""","""""05:00""""","""""-1.3""""","""""""""","""""-5.0""""","""""""""","""""76""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""101.49""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
